j,"Calcium, Ca","Carbohydrate, by difference",Energy,"Fiber, total dietary","Folate, DFE","Iron, Fe","Magnesium, Mg",Niacin,"Phosphorus, P","Potassium, K",Protein,Riboflavin,Thiamin,"Vitamin A, RAE",Vitamin B-12,Vitamin B-6,"Vitamin C, total ascorbic acid",Vitamin E (alpha-tocopherol),Vitamin K (phylloquinone),"Zinc, Zn"
Beef ,18.0,0.0,231.0,0.0,7.0,2.66,20.0,6.19,217.0,319.0,27.1,0.24,0.067,4.0,2.28,0.574,0.0,0.21,1.6,5.75
Bread ,73.0,48.3,259.0,5.8,151.0,2.83,40.0,3.8,125.0,166.0,8.5,0.335,0.434,0.0,0.0,0.075,0.4,0.33,1.2,1.14
Cooking Oil ,1.0,0.0,3699.0,0.0,0.0,0.56,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.35,60.2,0.0
Dairy Products ,183.0,7.04,63.0,0.0,11.0,0.08,17.0,0.114,144.0,234.0,5.25,0.214,0.044,14.0,0.56,0.049,0.8,0.03,0.2,0.89
Eggs ,48.0,0.96,143.0,0.0,71.0,1.67,11.0,0.0,184.0,132.0,12.4,0.419,0.077,180.0,1.02,0.063,0.0,1.05,0.3,1.24
Fish (dried) ,160.0,0.0,1212.0,0.0,25.0,2.5,133.0,7.5,950.0,1458.0,62.82,0.24,0.268,42.0,10.0,0.864,3.5,2.84,0.4,1.59
"Honey, Syrups, etc. ",6.0,82.4,304.0,0.2,2.0,0.42,2.0,0.121,4.0,52.0,0.3,0.038,0.0,0.0,0.0,0.024,0.5,0.0,0.0,0.22
"Macaroni, Spaghetti",18.0,73.21,357.0,3.6,0.0,3.57,0.0,5.357,0.0,196.0,12.5,0.357,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Maize (flour),5.0,73.89,1524.0,8.4,0.0,1.74,110.0,2.6,263.0,381.0,8.75,0.23,0.16,0.0,0.0,0.47,0.0,0.0,0.0,2.24
Maize (grain),0.0,14.4,48.0,3.2,0.0,0.29,0.0,0.0,0.0,0.0,2.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
